No.,用語,カテゴリ,解説
1,OLO（オンラインオーダー）,システム,アプリ・Webからの事前注文を受け付けるシステム全体の総称。顧客が注文する入口。
2,C-BOH（シービーオーエイチ）,システム,店舗のバックオフィスに設置されるPOSシステム。注文受付・営業開始/終了通知・在庫管理を担う。
3,BOH（ストコン）,システム,C-BOHの店舗側システム
4,POS（ポス）,システム,店舗レジシステム。本プロジェクトではC-BOHを指すことが多い。
5,Renegade（レネゲード）,システム,KFCJが現在利用中のオンライン注文プラットフォーム（Yum!提供のSaaS）。新OLOへの移行が本プロジェクトの背景。
6,METS,システム,KFCJの本部が管理するメニューマスタシステム。商品情報の源泉。OLO側はMETSからメニューデータを受け取る。
7,StoreProfile（ストアプロファイル）,システム,店舗マスタ情報を管理するシステム。店舗名・住所・営業時間等を保持。
8,Marigold（マリーゴールド）,システム,会員情報・ロイヤルティ（ポイント）管理システム。
9,Point Infinity（ポイントインフィニティ）,システム,ポイント管理の別システム（Byte移行後の新基盤）。MarigoldとOLOの間でポイント付与・利用を処理。
10,AnyCarry（エニーキャリー）,システム,デリバリー配送管理システム。注文キャンセル時には配送キャンセルも連動が必要。
11,DGFT（ディジタルギフト）,システム,クレジットカード・Apple Pay等の決済ゲートウェイ。
12,Canal Payment（キャナル）,システム,QRコード決済（PayPay等）を処理する決済ゲートウェイ。
13,KFCカード（凸版）,システム,KFCJが発行するプリペイドカード。凸版印刷が運営。部分取消不可という制約あり。
14,IDMS（アイディーエムエス）,システム,社員情報管理システム。OLO管理画面のユーザー管理で参照。
15,iReceipt（アイレシート（LogNote社））,システム,電子レシートを生成・PDF化するサードパーティサービス。OLO側はリンク提供のみ。
16,OPEN通知 / IF-P1001REQ,仕様,店舗が営業開始した際にC-BOHがOLOへ送る通知。OLOがオーダー受付を開始するトリガー。
17,CLOSE通知 / IF-P1002REQ,仕様,店舗が営業終了した際にC-BOHがOLOへ送る通知。OLOがオーダー受付を停止するトリガー。
18,品切れ通知 / IF-P1009REQ,仕様,品切れ発生時にC-BOH（ストコン機能）からOLOへ送る通知。フラグ値で「品切れ」「解除」を区別。
19,Classmethod / CM（クラスメソッド）,関係者,本プロジェクトでOLOの開発・保守を担う技術ベンダー。
20,Yum! Brands（ヤムブランズ）,関係者,KFCのグローバル本社。関係性としてはYumがフランチャイザー、KFCJがフランチャイジー。
21,カーライル,関係者,KFCJの親会社にあたるファンド。
22,単品メニュー,メニュー,単品はメニューアイテム。
23,セットメニュー,メニュー,複数単品をまとめて購入できる組み合わせ商品
24,サイズアップ,メニュー,注文済み・選択中の商品をより上位の商品やサイズへの変更提案
25,トレードアップ,メニュー,・元となる決められたパックを買うと安く単品が帰る
26,アップセル（おすすめメニュー）,メニュー,注文内容に対して関連商品の追加購入を促す提案。どのメニューにも関わらず、お店がおすすめしたい物を表示。
27,メニュークーポン,メニュー,METSに独立したメニューとして登録されるクーポン
28,グリルアンドトッピング,メニュー,既存商品に対するトッピング追加・変更・除去など個別調整
29,イベント,メニュー,特定期間・季節の限定販売。KFCでは予約数管理が必要
30,コラボ,メニュー,外部ブランド・IPとの提携商品でコラボ物品の在庫管理が必要
31,抽選販売,メニュー,需要過多の商品に対して購入機会を抽選で配分する販売形態
